"ID","Title","Created Date","Updated Date","Owner","entryRequirementCode","courseCode","universityCode","qualification","minimumRequirement","englishRequirement","notes"
"023121b6-f55b-47d3-95fa-242077c3a125","Engineering Foundation Year - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UOSM_ENGINEERING_FOUNDATION_YEAR","UOSM_ENGINEERING_FOUNDATION_YEAR","UOSM","General","SPM: 5 A grades (science stream) incl Mathematics & Physics, with min B+ in Additional Mathematics.","Language Pathway: IELTS 5.5 overall (or UEC English B4/equiv) + extra English modules; or Non‑Language Pathway: IELTS 6.5 overall, min 6.0 in each component (or equivalent).","IGCSE: 5 A grades (science stream) incl Mathematics & Physics; IB MYP: Grade 6 in 5 subjects incl Physics, Mathematics & one other Science. Other international quals considered."
"11503974-4940-40a1-ad10-82783ba46b9e","BSc Business and Management - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UORM_BSC_BUSINESS_AND_MANAGEMENT","UORM_BSC_BUSINESS_AND_MANAGEMENT","UORM","General",,,
"14b10056-58e0-40b0-ba69-1e45d549754d","BSc Accounting & Finance - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UORM_BSC_ACCOUNTING_AND_FINANCE","UORM_BSC_ACCOUNTING_AND_FINANCE","UORM","General",,,
"22c4413f-acf8-4aca-bacf-899b61bf8188","BSc Finance & Business Management - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UORM_BSC_FINANCE_AND_BUSINESS_MANAGEMENT","UORM_BSC_FINANCE_AND_BUSINESS_MANAGEMENT","UORM","General",,,
"307476b5-ac46-46ba-bda4-3ee785ed7c5a","Diploma in Tourism Management - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_MDIS_DIPLOMA_IN_TOURISM_MANAGEMENT","MDIS_DIPLOMA_IN_TOURISM_MANAGEMENT","MDIS","General",,,
"3cdc6514-43c3-406a-a347-430ec00d1343","Business Foundation Year - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UOSM_BUSINESS_FOUNDATION_YEAR","UOSM_BUSINESS_FOUNDATION_YEAR","UOSM","General","SPM: 5 B grades incl Mathematics (excluding Moral Studies/Religious Studies).","IELTS 5.5 overall, min 5.5 in all components (or SPM 1119 Grade C / SPM CEFR B2+ / GCSE English Grade C / IGCSE ESL Grade A / UEC English B4 / equivalent).","IGCSE: 5 B grades incl Mathematics; IB MYP: Grade 5 in 5 subjects incl Mathematics (excluding Personal Project & PHE). Other international quals considered."
"4033619e-7596-430f-b43f-a28a3c357cd6","MEng Electrical and Electronic Engineering (2+2) - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UOSM_MENG_ELECTRICAL_AND_ELECTRONIC_ENGINEERING","UOSM_MENG_ELECTRICAL_AND_ELECTRONIC_ENGINEERING","UOSM","General","A-Level: A*AA incl Mathematics and Physics (min grade A) (some routes require Physics Practical pass); STPM: AAA with A in Mathematics and Physics; UEC: AAAAA with A in Advanced Mathematics I & II and Physics + two other STEM subjects.","IELTS 6.5 overall, min 6.0 in all components (or Grade C in GCE O-Level 1119 / B3 UEC English / equivalent).","IB: 38 points overall (19 HL) incl HL Physics 6 + HL Mathematics (AA: 6 or AI: 7). Other international/equivalent qualifications considered."
"41317f21-c073-42f4-9a39-8c7653eb3185","Diploma in Finance - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_MDIS_DIPLOMA_IN_FINANCE","MDIS_DIPLOMA_IN_FINANCE","MDIS","General",,,
"415df2a4-6819-48f2-92f5-a449e47dcd70","Foundation in Business - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_MDIS_FOUNDATION_IN_BUSINESS","MDIS_FOUNDATION_IN_BUSINESS","MDIS","General",,,
"421fed38-8c56-4040-ae87-93ed1f0a9880","Bachelor of Science (Honours) in International Tourism and Hospitality Management - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_MDIS_BACHELOR_OF_SCIENCE_IN_INTERNATIONAL_TOURISM_AND_HOSPITALITY_MANAGEMENT","MDIS_BACHELOR_OF_SCIENCE_IN_INTERNATIONAL_TOURISM_AND_HOSPITALITY_MANAGEMENT","MDIS","General",,,
"4b74eae4-f1c7-4909-9ad6-6574736df47b","Computer Science Foundation Year - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UOSM_COMPUTER_SCIENCE_FOUNDATION_YEAR","UOSM_COMPUTER_SCIENCE_FOUNDATION_YEAR","UOSM","General","SPM: 5 A grades (science stream) incl Mathematics & Physics, with min B+ in Additional Mathematics.","IELTS 6.5 overall, min 6.0 in each component (or SPM 1119 Grade C / SPM CEFR B2+ / GCSE English Grade C / IGCSE ESL Grade A / UEC English B3 / equivalent).","IGCSE: 5 A grades (science stream) incl Mathematics & Physics; IB MYP: Grade 6 in 5 subjects incl Physics, Mathematics & one other Science (excluding Personal Project & PHE). Other international quals considered."
"5666bb18-1832-4206-b99c-fc1b36c264a0","Diploma in International Business - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_MDIS_DIPLOMA_IN_INTERNATIONAL_BUSINESS","MDIS_DIPLOMA_IN_INTERNATIONAL_BUSINESS","MDIS","General",,,
"5802a29f-8e75-412b-8a82-77586c886f48","BSc Real Estate - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UORM_BSC_REAL_ESTATE","UORM_BSC_REAL_ESTATE","UORM","General",,,
"5a1ac695-9b5c-46d1-af62-eafd50f833e6","Foundation in Biological and Biomedical Sciences - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_NUMED_FOUNDATION_IN_BIOLOGICAL_AND_BIOMEDICAL_SCIENCES","NUMED_FOUNDATION_IN_BIOLOGICAL_AND_BIOMEDICAL_SCIENCES","NUMED","General",,,
"62f074ea-e4e0-415d-b1af-741dced3d473","BSc Accounting and Finance - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UOSM_BSC_ACCOUNTING_AND_FINANCE","UOSM_BSC_ACCOUNTING_AND_FINANCE","UOSM","General","A-Level: AAB incl Mathematics (min B); STPM: AAB incl Mathematics (min B), excluding General Studies; UEC: AAAAA incl Mathematics; IB: 34 points overall (17 HL) with Mathematics requirements.","IELTS 6.5 overall, min 6.0 in all components (or Grade C in GCE O-Level 1119 / B3 UEC English / equivalent).","Same academic requirements apply; other international/equivalent qualifications considered (contact counsellor/agent)."
"6f1b6a5a-0b7a-49d2-83cd-5953d0c0e9f0","BSc Finance and Financial Technology - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UOSM_BSC_FINANCE_AND_FINANCIAL_TECHNOLOGY","UOSM_BSC_FINANCE_AND_FINANCIAL_TECHNOLOGY","UOSM","General","A-Level: AAB incl Mathematics (min B); STPM: AAB incl Mathematics (min B), excluding General Studies; UEC: AAAAA incl Mathematics; IB: 34 points overall (17 HL) with Mathematics requirements.","IELTS 6.5 overall, min 6.0 in all components (or Grade C in GCE O-Level 1119 / B3 UEC English / equivalent).","Same academic requirements apply; other international/equivalent qualifications considered (contact counsellor/agent)."
"728981d0-cb02-4055-bb75-0f5aebdaf3d6","BSc Computer Science - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UOSM_BSC_COMPUTER_SCIENCE","UOSM_BSC_COMPUTER_SCIENCE","UOSM","General","A-Level: A*AA incl Mathematics (min A) or A*A*B incl Mathematics (min A*) or AAAA incl Mathematics; STPM: AAA with A in Mathematics; UEC: AAAAA with A in Advanced Mathematics I & II.","IELTS 6.5 overall, min 6.0 in all components (or Grade C in GCE O-Level 1119 / B3 UEC English / equivalent).","IB: 38 points overall with 19 HL incl HL Mathematics (AA: 6) or HL Mathematics (AI: 7). Other international/equivalent qualifications considered."
"72e9f614-2505-4260-93a1-2c003e6178f2","BSc Business Management - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UOSM_BSC_BUSINESS_MANAGEMENT","UOSM_BSC_BUSINESS_MANAGEMENT","UOSM","General","A-Level: AAB incl Mathematics (min B); STPM: AAB incl Mathematics (min B), excluding General Studies; UEC: AAAAA incl Mathematics; IB: 34 points overall (17 HL) with Mathematics requirements.","IELTS 6.5 overall, min 6.0 in all components (or Grade C in GCE O-Level 1119 / B3 UEC English / equivalent).","Same academic requirements apply; other international/equivalent qualifications considered (contact counsellor/agent)."
"75b62b6d-6140-4a34-b1b4-d17ec02ddda5","BSc Psychology with Professional Placement - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UORM_BSC_PSYCHOLOGY_WITH_PROFESSIONAL_PLACEMENT","UORM_BSC_PSYCHOLOGY_WITH_PROFESSIONAL_PLACEMENT","UORM","General",,,
"7b51bbdd-1269-46ee-8a64-29e57f0f3f32","Diploma in Hotel Management - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_MDIS_DIPLOMA_IN_HOTEL_MANAGEMENT","MDIS_DIPLOMA_IN_HOTEL_MANAGEMENT","MDIS","General",,,
"802652ad-7a11-4b3b-b5ff-7d07c83deca7","Bachelor of Science (Honours) in Banking and Finance - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_MDIS_BACHELOR_OF_SCIENCE_IN_BANKING_AND_FINANCE","MDIS_BACHELOR_OF_SCIENCE_IN_BANKING_AND_FINANCE","MDIS","General",,,
"85c12db2-859c-478f-8c0e-4ecfdba62046","BSc Quantity Surveying - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UORM_BSC_QUANTITY_SURVEYING","UORM_BSC_QUANTITY_SURVEYING","UORM","General",,,
"989cbb7d-86f9-47ef-8519-d372e2d31799","BSc Psychology - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UORM_BSC_PSYCHOLOGY","UORM_BSC_PSYCHOLOGY","UORM","General",,,
"9c25ddf7-19cb-4bf4-8dcc-ced313a2bac9","BSc Business Entrepreneurship - General",2026-04-16T06:42:55Z,2026-04-16T06:42:55Z,"a0b69dfb-18af-4851-9408-58a5754755fc","ER_UOSM_BSC_BUSINESS_ENTREPRENEURSHIP","UOSM_BSC_BUSINESS_ENTREPRENEURSHIP","UOSM","General","A-Level: AAB incl Mathematics (min B); STPM: AAB incl Mathematics (min B), excluding General Studies; UEC: AAAAA incl Mathematics; IB: 34 points overall (17 HL) with Mathematics requirements.","IELTS 6.5 overall, min 6.0 in all components (or Grade C in GCE O-Level 1119 / B3 UEC English / equivalent).","Same academic requirements apply; other international/equivalent qualifications considered (contact counsellor/agent)."
